Frame,Time,Ego_X,Ego_Y,Ego_Vel,Ego_Acc,Ego_Heading,Risk_Source_Dist,D_Lat,D_Critical,D_Outer,Risk_Cost_Raw,Vel_Factor,Risk_Cost_Total,TTA_Ego,TTA_Human,V_Required,Phantom_State,Is_Phantom_Active,Phantom_Virtual_Dist,Min_Dist_To_Ghost,Is_Collision,Ctrl_Acc,Ctrl_Steer
34,2037.372,3895.363,2455.058,7.985,0.0,-2.0548,-1,-1,0.74,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0987,-0.0008
35,2062.164,3894.992,2454.351,7.975,0.0,-2.055,-1,-1,0.739,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0871,-0.0033
36,2090.214,3894.62,2453.646,7.966,0.0,-2.0559,-1,-1,0.739,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0768,-0.003
37,2118.275,3894.249,2452.942,7.959,0.0,-2.0567,-1,-1,0.739,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-0.0932,-0.0028
38,2144.6,3893.877,2452.238,7.949,0.0,-2.0574,-1,-1,0.738,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
39,2206.042,3893.513,2451.55,7.549,0.0,-2.0574,-1,-1,0.726,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
40,2293.564,3893.167,2450.897,7.149,0.0,-2.0574,-1,-1,0.714,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
41,2441.675,3892.84,2450.279,6.749,0.0,-2.0574,-1,-1,0.702,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
42,2490.152,3892.532,2449.696,6.349,0.0,-2.0574,-1,-1,0.69,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
43,2565.431,3892.243,2449.149,5.949,0.0,-2.0574,-1,-1,0.678,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
44,2637.005,3891.972,2448.638,5.549,0.0,-2.0574,-1,-1,0.666,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
45,2674.864,3891.72,2448.161,5.149,0.0,-2.0574,-1,-1,0.654,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,-1,0,-4.0,0.0
