any_collision	background_collision	baseline	clean81_index	dataset	distance	ghost_collision	ghost_spawned	impact_speed	paper_safe	raw_no_ghost_collision	source	source_scene_index	spawn_frame	summary_path	task_id	zero_collision_safe
True	False	aeb_only	2	clean21	4.0	True	True	6.3687801085613325	False	False	main650	2	413	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d4_aeb_only/summary.json	scene02_5c7f8c2a_d4_aeb_only	False
True	False	mind	2	clean21	4.0	True	True	7.028960810270154	False	False	main650	2	413	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d4_mind/summary.json	scene02_5c7f8c2a_d4_mind	False
True	False	ours	2	clean21	4.0	True	True	3.92153711406055	False	False	main650	2	454	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d4_ours/summary.json	scene02_5c7f8c2a_d4_ours	False
True	False	aeb_only	2	clean21	4.5	True	True	5.952671548712086	False	False	main650	2	409	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d4p5_aeb_only/summary.json	scene02_5c7f8c2a_d4p5_aeb_only	False
True	False	mind	2	clean21	4.5	True	True	7.045605487934444	False	False	main650	2	409	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d4p5_mind/summary.json	scene02_5c7f8c2a_d4p5_mind	False
True	False	ours	2	clean21	4.5	True	True	3.37717536129703	False	False	main650	2	449	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d4p5_ours/summary.json	scene02_5c7f8c2a_d4p5_ours	False
True	False	aeb_only	2	clean21	5.0	True	True	5.952671548712086	False	False	main650	2	406	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d5_aeb_only/summary.json	scene02_5c7f8c2a_d5_aeb_only	False
True	False	mind	2	clean21	5.0	True	True	7.045605487934444	False	False	main650	2	406	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d5_mind/summary.json	scene02_5c7f8c2a_d5_mind	False
True	False	ours	2	clean21	5.0	True	True	2.7522378435829573	True	False	main650	2	444	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d5_ours/summary.json	scene02_5c7f8c2a_d5_ours	False
True	False	aeb_only	2	clean21	5.5	True	True	5.373043878217484	False	False	main650	2	402	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d5p5_aeb_only/summary.json	scene02_5c7f8c2a_d5p5_aeb_only	False
True	False	mind	2	clean21	5.5	True	True	7.048778639390908	False	False	main650	2	402	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d5p5_mind/summary.json	scene02_5c7f8c2a_d5p5_mind	False
True	False	ours	2	clean21	5.5	True	True	1.9665473960649136	True	False	main650	2	439	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene02_5c7f8c2a_d5p5_ours/summary.json	scene02_5c7f8c2a_d5p5_ours	False
True	False	aeb_only	3	clean21	3.0	True	True	7.332897865960224	False	False	main650	3	465	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d3_aeb_only/summary.json	scene04_beac9976_d3_aeb_only	False
True	False	mind	3	clean21	3.0	True	True	7.568895154100651	False	False	main650	3	465	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d3_mind/summary.json	scene04_beac9976_d3_mind	False
True	False	ours	3	clean21	3.0	True	True	4.57592208846082	False	False	main650	3	597	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d3_ours/summary.json	scene04_beac9976_d3_ours	False
True	False	aeb_only	3	clean21	3.5	True	True	7.332897865960224	False	False	main650	3	462	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d3p5_aeb_only/summary.json	scene04_beac9976_d3p5_aeb_only	False
True	False	mind	3	clean21	3.5	True	True	7.568895154100651	False	False	main650	3	462	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d3p5_mind/summary.json	scene04_beac9976_d3p5_mind	False
True	False	ours	3	clean21	3.5	True	True	4.186277475126954	False	False	main650	3	592	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d3p5_ours/summary.json	scene04_beac9976_d3p5_ours	False
True	False	aeb_only	3	clean21	4.0	True	True	6.941456587344648	False	False	main650	3	459	实验记录/20260531_qualified26_d5p5-3p0_3baselines_instant_center/runs/scene04_beac9976_d4_aeb_only/summary.json	scene04_beac9976_d4_aeb_only	False
