avg_speed_control_mps	baseline	clean81_index	collision_count_ground_truth	completed_full_horizon	dataset	distance_control_m	ground_truth_collision	n_frames	planner_failure	planner_failure_frame	seq_id	slow_pct_control_lt6	source_scene_index	stop_pct_control_lt0p3	summary_path	task_id	terminated
6.852755911111112	mind	60	0	True	new60	61.571665546777474	False	650	False		480c05be-219c-4ead-87e3-637a297a7d16	28.666666666666668	59	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene59_480c05be_mind/summary.json	noghost_scene59_480c05be_mind	False
4.791914955555556	ours	60	0	True	new60	43.04648097675873	False	650	False		480c05be-219c-4ead-87e3-637a297a7d16	86.8888888888889	59	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene59_480c05be_ours/summary.json	noghost_scene59_480c05be_ours	False
7.977492466666667	mind	61	1	True	new60	71.65153997931118	True	650	False		d567a51c-0e57-4e40-885a-36f5f8f99dd1	0.0	60	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene60_d567a51c_mind/summary.json	noghost_scene60_d567a51c_mind	False
4.869674155555555	ours	61	0	True	new60	43.737573941993034	False	650	False		d567a51c-0e57-4e40-885a-36f5f8f99dd1	85.77777777777777	60	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene60_d567a51c_ours/summary.json	noghost_scene60_d567a51c_ours	False
3.8365838666666665	mind	62	1	True	new60	34.460448917292574	True	650	False		16e57601-8355-46fd-88f4-1f66aaf49801	100.0	62	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene62_16e57601_mind/summary.json	noghost_scene62_16e57601_mind	False
2.5992563555555557	ours	62	0	True	new60	23.343682933588372	False	650	False		16e57601-8355-46fd-88f4-1f66aaf49801	100.0	62	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene62_16e57601_ours/summary.json	noghost_scene62_16e57601_ours	False
7.253152066666666	mind	63	0	True	new60	65.15918131016534	False	650	False		1fb98468-81e2-4cc0-919d-9b92d73245da	2.4444444444444446	63	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene63_1fb98468_mind/summary.json	noghost_scene63_1fb98468_mind	False
5.789592066666668	ours	63	0	True	new60	52.033984915879856	False	650	False		1fb98468-81e2-4cc0-919d-9b92d73245da	62.44444444444445	63	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene63_1fb98468_ours/summary.json	noghost_scene63_1fb98468_ours	False
4.579962422222222	mind	64	0	True	new60	41.09596787962489	False	650	False		ad8fbb5d-56e8-4c54-867c-f7d51d660060	84.22222222222221	66	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene66_ad8fbb5d_mind/summary.json	noghost_scene66_ad8fbb5d_mind	False
3.331458977777778	ours	64	0	True	new60	29.905261386696928	False	650	False		ad8fbb5d-56e8-4c54-867c-f7d51d660060	100.0	66	0.0	实验记录/20260606_new90_le3_1800_inference/runs/noghost_scene66_ad8fbb5d_ours/summary.json	noghost_scene66_ad8fbb5d_ours	False
