Frame,Time,Ego_X,Ego_Y,Ego_Vel,Ego_Acc,Ego_Heading,Risk_Source_Dist,D_Lat,D_Critical,D_Outer,Risk_Cost_Raw,Vel_Factor,Risk_Cost_Total,TTA_Ego,TTA_Human,V_Required,Phantom_State,Is_Phantom_Active,Phantom_Virtual_Dist,Min_Dist_To_Ghost,Is_Collision,Ctrl_Acc,Ctrl_Steer
56,3955.113,3894.796,2454.023,4.098,0.0,-2.0599,21.357,1.875,0.623,7.0,6.4026,0.1206,0.7719,5.192,0.375,0.0,0,0,21.274,2.015,0,-0.1092,-0.0027
57,3962.793,3894.604,2453.662,4.087,0.0,-2.0603,20.95,1.868,0.623,7.0,6.8228,0.1235,0.8423,5.106,0.374,0.0,0,0,20.867,2.015,0,-0.1142,-0.0073
58,3969.77,3894.412,2453.302,4.076,0.0,-2.0613,20.543,1.848,0.622,7.0,7.2418,0.144,1.0429,5.02,0.37,0.0,0,0,20.459,2.015,0,-0.1153,-0.0021
59,3978.089,3894.22,2452.943,4.064,0.0,-2.0616,20.136,1.843,0.622,7.0,7.6635,0.1427,1.0936,4.934,0.369,0.0,0,0,20.051,2.015,0,-0.0982,0.0005
60,4012.448,3894.028,2452.585,4.054,0.0,-2.0615,19.728,1.846,0.622,7.0,8.0994,0.1315,1.0651,4.845,0.369,0.0,0,0,19.642,2.015,0,-4.0,0.0
61,4034.701,3893.845,2452.241,3.654,0.0,-2.0615,19.337,1.847,0.61,7.0,6.0312,0.0,0.0,5.267,0.369,0.0,0,0,19.248,2.015,0,-4.0,0.0
62,4058.622,3893.68,2451.933,3.254,0.0,-2.0615,18.984,1.848,0.598,7.0,3.3956,0.0,0.0,5.806,0.37,0.0,0,0,18.894,2.015,0,-4.0,0.0
63,4084.621,3893.534,2451.66,2.854,0.0,-2.0615,18.674,1.849,0.586,7.0,0.0,0.0,0.0,6.511,0.37,0.0,0,0,18.582,2.015,0,-4.0,0.0
64,4114.343,3893.407,2451.423,2.454,0.0,-2.0615,18.406,1.85,0.574,7.0,0.0,0.0,0.0,7.462,0.37,0.0,0,0,18.313,2.015,0,-4.0,0.0
65,4131.08,3893.299,2451.22,2.054,0.0,-2.0615,18.178,1.851,0.562,7.0,0.0,0.0,0.0,8.803,0.37,0.0,0,0,18.083,2.015,0,-4.0,0.0
66,4140.944,3893.21,2451.053,1.654,0.0,-2.0615,17.99,1.851,0.55,7.0,0.0,0.0,0.0,10.818,0.37,0.0,0,0,17.895,2.015,0,-4.0,0.0
67,4170.53,3893.14,2450.921,1.254,0.0,-2.0615,17.843,1.852,0.538,7.0,0.0,0.0,0.0,14.15,0.37,0.0,0,0,17.746,2.015,0,-4.0,0.0
68,4196.392,3893.088,2450.825,0.854,0.0,-2.0615,17.734,1.852,0.526,7.0,0.0,0.0,0.0,20.649,0.37,0.0,0,0,17.637,2.015,0,-4.0,0.0
69,4211.413,3893.055,2450.764,0.454,0.0,-2.0615,17.666,1.853,0.514,7.0,0.0,0.0,0.0,38.685,0.371,0.0,0,0,17.569,2.015,0,-2.2708,0.0
70,4218.547,3893.038,2450.732,0.227,0.0,-2.0615,-1,-1,0.507,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-1.1354,0.0
71,4226.56,3893.03,2450.716,0.114,0.0,-2.0615,-1,-1,0.503,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.5677,0.0
72,4233.843,3893.025,2450.708,0.057,0.0,-2.0615,-1,-1,0.502,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.2838,0.0
73,4246.296,3893.023,2450.704,0.028,0.0,-2.0615,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.0,0.0
74,4258.468,3893.022,2450.701,0.028,0.0,-2.0615,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.1506,0.0001
75,4267.188,3893.02,2450.698,0.043,0.0,-2.0615,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.2842,0.0001
76,4277.558,3893.018,2450.693,0.072,0.0,-2.0615,-1,-1,0.502,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.3287,0.0208
77,4286.775,3893.014,2450.686,0.105,0.0,-2.0615,-1,-1,0.503,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.2123,0.0157
78,4294.462,3893.009,2450.677,0.083,0.0,-2.0614,-1,-1,0.503,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.0369,0.0123
79,4304.044,3893.005,2450.67,0.08,0.0,-2.0614,-1,-1,0.502,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.2971,0.0147
80,4312.244,3893.002,2450.664,0.05,0.0,-2.0613,-1,-1,0.502,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.2505,0.0131
81,4317.989,3893.0,2450.661,0.025,0.0,-2.0613,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.0,0.0157
82,4321.656,3892.999,2450.658,0.025,0.0,-2.0613,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.1527,0.0119
83,4330.072,3892.998,2450.656,0.04,0.0,-2.0613,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.0,0.0054
84,4334.778,3892.996,2450.652,0.04,0.0,-2.0613,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.1524,0.0041
85,4345.756,3892.994,2450.648,0.056,0.0,-2.0613,-1,-1,0.502,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.0267,0.0054
86,4352.746,3892.991,2450.643,0.053,0.0,-2.0613,-1,-1,0.502,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.0352,0.0187
87,4364.126,3892.989,2450.639,0.049,0.0,-2.0612,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.0,0.0182
88,4376.506,3892.986,2450.634,0.049,0.0,-2.0612,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.1522,0.0137
89,4384.564,3892.984,2450.629,0.065,0.0,-2.0612,-1,-1,0.502,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,-0.2257,0.0095
90,4393.747,3892.981,2450.624,0.042,0.0,-2.0612,-1,-1,0.501,7.0,0.0,1.0,0.0,-1,-1,0.0,0,0,0.0,2.015,0,0.0,0.0074
